dataset,size,algo,threshold,trial,time_us
random,2500,ms+ins,5,1,159
random,2500,ms+ins,5,2,162
random,2500,ms+ins,5,3,183
random,2500,ms+ins,10,1,146
random,2500,ms+ins,10,2,152
random,2500,ms+ins,10,3,140
random,2500,ms+ins,20,1,152
random,2500,ms+ins,20,2,137
random,2500,ms+ins,20,3,127
random,2500,ms+ins,30,1,132
random,2500,ms+ins,30,2,134
random,2500,ms+ins,30,3,131
random,2500,ms+ins,50,1,158
random,2500,ms+ins,50,2,170
random,2500,ms+ins,50,3,149
reverse,2500,ms,0,1,79
reverse,2500,ms,0,2,76
reverse,2500,ms,0,3,80
reverse,2500,ms+ins,5,1,35
reverse,2500,ms+ins,5,2,32
reverse,2500,ms+ins,5,3,32
reverse,2500,ms+ins,10,1,35
reverse,2500,ms+ins,10,2,29
reverse,2500,ms+ins,10,3,31
reverse,2500,ms+ins,20,1,61
reverse,2500,ms+ins,20,2,54
reverse,2500,ms+ins,20,3,54
reverse,2500,ms+ins,30,1,57
reverse,2500,ms+ins,30,2,56
reverse,2500,ms+ins,30,3,55
reverse,2500,ms+ins,50,1,102
reverse,2500,ms+ins,50,2,96
reverse,2500,ms+ins,50,3,92
nearly,2500,ms,0,1,105
nearly,2500,ms,0,2,104
nearly,2500,ms,0,3,116
nearly,2500,ms+ins,5,1,53
nearly,2500,ms+ins,5,2,48
nearly,2500,ms+ins,5,3,46
nearly,2500,ms+ins,10,1,40
nearly,2500,ms+ins,10,2,39
nearly,2500,ms+ins,10,3,36
nearly,2500,ms+ins,20,1,39
nearly,2500,ms+ins,20,2,36
nearly,2500,ms+ins,20,3,36
nearly,2500,ms+ins,30,1,36
nearly,2500,ms+ins,30,2,34
nearly,2500,ms+ins,30,3,30
nearly,2500,ms+ins,50,1,40
nearly,2500,ms+ins,50,2,36
nearly,2500,ms+ins,50,3,36
random,3000,ms,0,1,199
random,3000,ms,0,2,196
random,3000,ms,0,3,185
random,3000,ms+ins,5,1,170
random,3000,ms+ins,5,2,160
random,3000,ms+ins,5,3,158
random,3000,ms+ins,10,1,147
random,3000,ms+ins,10,2,151
random,3000,ms+ins,10,3,148
random,3000,ms+ins,20,1,153
random,3000,ms+ins,20,2,138
random,3000,ms+ins,20,3,136
random,3000,ms+ins,30,1,152
random,3000,ms+ins,30,2,154
random,3000,ms+ins,30,3,171
random,3000,ms+ins,50,1,192
random,3000,ms+ins,50,2,190
random,3000,ms+ins,50,3,189
reverse,3000,ms,0,1,95
reverse,3000,ms,0,2,94
reverse,3000,ms,0,3,96
reverse,3000,ms+ins,5,1,57
reverse,3000,ms+ins,5,2,59
reverse,3000,ms+ins,5,3,59
reverse,3000,ms+ins,10,1,52
reverse,3000,ms+ins,10,2,48
reverse,3000,ms+ins,10,3,45
reverse,3000,ms+ins,20,1,60
reverse,3000,ms+ins,20,2,52
reverse,3000,ms+ins,20,3,42
reverse,3000,ms+ins,30,1,81
reverse,3000,ms+ins,30,2,71
reverse,3000,ms+ins,30,3,63
reverse,3000,ms+ins,50,1,126
reverse,3000,ms+ins,50,2,121
reverse,3000,ms+ins,50,3,140
nearly,3000,ms,0,1,150
nearly,3000,ms,0,2,148
nearly,3000,ms,0,3,150
nearly,3000,ms+ins,5,1,99
nearly,3000,ms+ins,5,2,94
nearly,3000,ms+ins,5,3,72
nearly,3000,ms+ins,10,1,65
nearly,3000,ms+ins,10,2,54
nearly,3000,ms+ins,10,3,53
nearly,3000,ms+ins,20,1,48
nearly,3000,ms+ins,20,2,60
nearly,3000,ms+ins,20,3,59
nearly,3000,ms+ins,30,1,65
nearly,3000,ms+ins,30,2,60
nearly,3000,ms+ins,30,3,57
nearly,3000,ms+ins,50,1,84
nearly,3000,ms+ins,50,2,79
nearly,3000,ms+ins,50,3,84
random,3500,ms,0,1,276
random,3500,ms,0,2,280
random,3500,ms,0,3,296
random,3500,ms+ins,5,1,194
random,3500,ms+ins,5,2,200
random,3500,ms+ins,5,3,223
random,3500,ms+ins,10,1,212
random,3500,ms+ins,10,2,194
random,3500,ms+ins,10,3,320
random,3500,ms+ins,20,1,221
random,3500,ms+ins,20,2,215
random,3500,ms+ins,20,3,200
random,3500,ms+ins,30,1,204
random,3500,ms+ins,30,2,194
random,3500,ms+ins,30,3,197
random,3500,ms+ins,50,1,212
random,3500,ms+ins,50,2,218
random,3500,ms+ins,50,3,210
reverse,3500,ms,0,1,112
reverse,3500,ms,0,2,113
reverse,3500,ms,0,3,99
reverse,3500,ms+ins,5,1,57
reverse,3500,ms+ins,5,2,56
reverse,3500,ms+ins,5,3,56
reverse,3500,ms+ins,10,1,51
reverse,3500,ms+ins,10,2,51
reverse,3500,ms+ins,10,3,56
reverse,3500,ms+ins,20,1,82
reverse,3500,ms+ins,20,2,68
reverse,3500,ms+ins,20,3,57
reverse,3500,ms+ins,30,1,111
reverse,3500,ms+ins,30,2,115
reverse,3500,ms+ins,30,3,112
reverse,3500,ms+ins,50,1,99
reverse,3500,ms+ins,50,2,100
reverse,3500,ms+ins,50,3,98
nearly,3500,ms,0,1,166
nearly,3500,ms,0,2,165
nearly,3500,ms,0,3,168
nearly,3500,ms+ins,5,1,101
nearly,3500,ms+ins,5,2,95
nearly,3500,ms+ins,5,3,79
nearly,3500,ms+ins,10,1,64
nearly,3500,ms+ins,10,2,63
nearly,3500,ms+ins,10,3,60
nearly,3500,ms+ins,20,1,55
nearly,3500,ms+ins,20,2,53
nearly,3500,ms+ins,20,3,51
nearly,3500,ms+ins,30,1,60
nearly,3500,ms+ins,30,2,54
nearly,3500,ms+ins,30,3,55
nearly,3500,ms+ins,50,1,51
nearly,3500,ms+ins,50,2,50
nearly,3500,ms+ins,50,3,50
random,4000,ms,0,1,313
random,4000,ms,0,2,290
random,4000,ms,0,3,317
