dataset,size,algo,trial,time_us
reverse,27000,qs,3,642
reverse,27000,intro,1,438
reverse,27000,intro,2,474
reverse,27000,intro,3,425
reverse,27500,qs,1,677
reverse,27500,qs,2,587
reverse,27500,qs,3,685
reverse,27500,intro,1,440
reverse,27500,intro,2,541
reverse,27500,intro,3,515
reverse,28000,qs,1,762
reverse,28000,qs,2,788
reverse,28000,qs,3,640
reverse,28000,intro,1,441
reverse,28000,intro,2,405
reverse,28000,intro,3,457
reverse,28500,qs,1,766
reverse,28500,qs,2,825
reverse,28500,qs,3,763
reverse,28500,intro,1,547
reverse,28500,intro,2,462
reverse,28500,intro,3,494
reverse,29000,qs,1,794
reverse,29000,qs,2,782
reverse,29000,qs,3,683
reverse,29000,intro,1,488
reverse,29000,intro,2,423
reverse,29000,intro,3,451
reverse,29500,qs,1,751
reverse,29500,qs,2,882
reverse,29500,qs,3,764
reverse,29500,intro,1,442
reverse,29500,intro,2,455
reverse,29500,intro,3,454
reverse,30000,qs,1,691
reverse,30000,qs,2,760
reverse,30000,qs,3,840
reverse,30000,intro,1,491
reverse,30000,intro,2,571
reverse,30000,intro,3,523
nearly,500,qs,1,11
nearly,500,qs,2,9
nearly,500,qs,3,10
nearly,500,intro,1,5
nearly,500,intro,2,5
nearly,500,intro,3,4
nearly,1000,qs,1,21
nearly,1000,qs,2,20
nearly,1000,qs,3,22
nearly,1000,intro,1,9
nearly,1000,intro,2,10
nearly,1000,intro,3,9
nearly,1500,qs,1,29
nearly,1500,qs,2,29
nearly,1500,qs,3,29
nearly,1500,intro,1,17
nearly,1500,intro,2,17
nearly,1500,intro,3,17
nearly,2000,qs,1,44
nearly,2000,qs,2,46
nearly,2000,qs,3,43
nearly,2000,intro,1,25
nearly,2000,intro,2,24
nearly,2000,intro,3,22
nearly,2500,qs,1,62
nearly,2500,qs,2,55
nearly,2500,qs,3,56
nearly,2500,intro,1,31
nearly,2500,intro,2,36
nearly,2500,intro,3,29
nearly,3000,qs,1,70
nearly,3000,qs,2,72
nearly,3000,qs,3,72
nearly,3000,intro,1,45
nearly,3000,intro,2,41
nearly,3000,intro,3,40
nearly,3500,qs,1,84
nearly,3500,qs,2,72
nearly,3500,qs,3,72
nearly,3500,intro,1,39
nearly,3500,intro,2,39
nearly,3500,intro,3,39
nearly,4000,qs,1,76
nearly,4000,qs,2,78
nearly,4000,qs,3,88
nearly,4000,intro,1,76
nearly,4000,intro,2,52
nearly,4000,intro,3,46
nearly,4500,qs,1,99
nearly,4500,qs,2,90
nearly,4500,qs,3,91
nearly,4500,intro,1,48
nearly,4500,intro,2,54
nearly,4500,intro,3,48
nearly,5000,qs,1,101
nearly,5000,qs,2,100
nearly,5000,qs,3,103
nearly,5000,intro,1,65
nearly,5000,intro,2,66
nearly,5000,intro,3,67
nearly,5500,qs,1,128
nearly,5500,qs,2,121
nearly,5500,qs,3,121
nearly,5500,intro,1,74
nearly,5500,intro,2,71
nearly,5500,intro,3,68
nearly,6000,qs,1,118
nearly,6000,qs,2,125
nearly,6000,qs,3,128
nearly,6000,intro,1,81
nearly,6000,intro,2,83
nearly,6000,intro,3,85
nearly,6500,qs,1,132
nearly,6500,qs,2,132
nearly,6500,qs,3,133
