rect,N,estimate,rel_error,rect_area,exact_area
large,27100,0.9384910575,0.0063801151,9.7221359550,0.9445171859
small,27600,0.9402318841,0.0045370290,1.9600000000,0.9445171859
large,27600,0.9577712921,0.0140326787,9.7221359550,0.9445171859
small,28100,0.9419857651,0.0026801215,1.9600000000,0.9445171859
large,28100,0.9552604047,0.0113742968,9.7221359550,0.9445171859
small,28600,0.9509426573,0.0068029164,1.9600000000,0.9445171859
large,28600,0.9487580927,0.0044900261,9.7221359550,0.9445171859
small,29100,0.9390487973,0.0057896127,1.9600000000,0.9445171859
large,29100,0.9384700996,0.0064023042,9.7221359550,0.9445171859
small,29600,0.9556324324,0.0117681782,1.9600000000,0.9445171859
large,29600,0.9600609256,0.0164568098,9.7221359550,0.9445171859
small,30100,0.9610511628,0.0175052155,1.9600000000,0.9445171859
large,30100,0.9370071895,0.0079511484,9.7221359550,0.9445171859
small,30600,0.9427215686,0.0019010954,1.9600000000,0.9445171859
large,30600,0.9461608129,0.0017401769,9.7221359550,0.9445171859
small,31100,0.9425016077,0.0021339772,1.9600000000,0.9445171859
large,31100,0.9562705430,0.0124437726,9.7221359550,0.9445171859
small,31600,0.9453278481,0.0008582821,1.9600000000,0.9445171859
large,31600,0.9272948661,0.0182339931,9.7221359550,0.9445171859
small,32100,0.9384797508,0.0063920860,1.9600000000,0.9445171859
large,32100,0.9313261078,0.0139659482,9.7221359550,0.9445171859
small,32600,0.9493975460,0.0051670422,1.9600000000,0.9445171859
large,32600,0.9397070673,0.0050926745,9.7221359550,0.9445171859
small,33100,0.9296676737,0.0157218020,1.9600000000,0.9445171859
large,33100,0.9537092280,0.0097320009,9.7221359550,0.9445171859
small,33600,0.9468083333,0.0024257340,1.9600000000,0.9445171859
large,33600,0.9236029157,0.0221428159,9.7221359550,0.9445171859
small,34100,0.9397653959,0.0050309196,1.9600000000,0.9445171859
large,34100,0.9360050540,0.0090121515,9.7221359550,0.9445171859
small,34600,0.9525260116,0.0084792800,1.9600000000,0.9445171859
large,34600,0.9317515268,0.0135155393,9.7221359550,0.9445171859
small,35100,0.9367236467,0.0082513471,1.9600000000,0.9445171859
large,35100,0.9866167599,0.0445725865,9.7221359550,0.9445171859
small,35600,0.9448191011,0.0003196503,1.9600000000,0.9445171859
large,35600,0.9446311311,0.0001206386,9.7221359550,0.9445171859
small,36100,0.9388997230,0.0059474438,1.9600000000,0.9445171859
large,36100,0.9412428023,0.0034667274,9.7221359550,0.9445171859
small,36600,0.9473333333,0.0029815735,1.9600000000,0.9445171859
large,36600,0.9451191182,0.0006372910,9.7221359550,0.9445171859
small,37100,0.9391622642,0.0056694805,1.9600000000,0.9445171859
large,37100,0.9494150557,0.0051855804,9.7221359550,0.9445171859
small,37600,0.9471595745,0.0027976077,1.9600000000,0.9445171859
large,37600,0.9344627484,0.0106450551,9.7221359550,0.9445171859
small,38100,0.9417259843,0.0029551624,1.9600000000,0.9445171859
large,38100,0.9275581154,0.0179552800,9.7221359550,0.9445171859
